
21-AUG-06,Dishman Phar,HDFC Sec,Results Review,197.75,NA,164.60,-16.76,-65.80,NA
22-AUG-06,Moth Sumi Sy,HDFC Sec,Long Term Outperformer,26.27,NA,527.00,1906.09,723.50,NA
22-AUG-06,Nationalum,Angel,Company Update,49.95,NA,40.00,-19.92,-67.13,NA
23-AUG-06,H C L Tech,Karvy,Results Review,141.37,175.00,942.95,567.01,171.52,Achieved
23-AUG-06,Indoco Rem,Karvy,Buy,41.39,53.34,364.50,780.65,258.49,Achieved
24-AUG-06,Inox Leisure,Karvy,Company Update,152.95,145.00,176.60,15.46,-52.48,Pending
24-AUG-06,Ballarpur,Emkay,Buy,114.60,161.00,13.47,-88.25,-95.16,Pending
25-AUG-06,L I C Hous Fin,Angel,Buy,31.12,47.00,455.00,1362.08,503.82,Achieved
28-AUG-06,Shasunphar,HDFC Sec,Management Meet,81.60,NA,337.00,312.99,71.26,NA
28-AUG-06,Bajajhldng,Karvy,Company Update,2722.00,3200.00,1455.00,-46.55,-77.83,Pending
30-AUG-06,Sbin,Karvy,Outperformer,87.91,103.31,267.60,204.40,27.36,Achieved
31-AUG-06,Hexaware Tech,Karvy,Buy,76.00,95.00,257.20,238.42,41.29,Achieved
31-AUG-06,Monnetispa,Emkay,Buy,170.95,258.00,34.65,-79.73,-91.54,Pending
05-SEP-06,Dena Bank,Karvy,Buy,27.15,40.00,44.55,64.09,-30.29,Achieved
05-SEP-06,Punj Lloy,Brics,Buy,156.73,247.80,24.75,-84.21,-93.29,Pending
05-SEP-06,Castextech,Emkay,Buy,59.33,87.50,248.15,318.25,77.69,Achieved
06-SEP-06,Clnindia,HDFC Sec,Management Meet,301.55,NA,844.50,180.05,19.27,NA
06-SEP-06,Cadila Heal,Karvy,Company Update,225.01,263.35,1825.45,711.28,245.50,Achieved
07-SEP-06,Kewal Kiran,UTI Sec,Buy,193.95,260.00,2125.00,995.64,363.50,Achieved
08-SEP-06,Genuspower,Networth,Buy,21.81,28.00,24.40,11.88,-52.41,Pending
08-SEP-06,Jubilan,Karvy,Buy,205.85,265.00,168.90,-17.95,-65.10,Pending
08-SEP-06,Aegis Logi,Karvy,Outperformer,110.40,132.00,799.40,624.09,207.99,Achieved
11-SEP-06,Maruti Suzuki,Karvy,Market Performer,917.45,990.00,4033.90,339.69,81.25,Achieved
11-SEP-06,Hexaware Tech,Karvy,Buy,75.25,95.00,257.20,241.79,40.89,Achieved
11-SEP-06,Thermax,Padmakshi,Buy,289.55,380.00,1053.15,263.72,49.93,Achieved
11-SEP-06,Noidatoll,Brics,Buy,35.40,59.00,32.00,-9.60,-62.74,Pending
12-SEP-06,21stcenmgm,SMIFS,NA,15.00,100.00,39.80,165.33,10.42,Pending
12-SEP-06,Ranbaxy Lab ,Karvy,Market Performer,405.15,450.00,859.90,112.24,-11.68,Achieved
12-SEP-06,Venusrem,Brics,Buy,381.10,602.00,145.30,-61.87,-84.13,Pending
13-SEP-06,21stcenmgm,HCGutt,NA,15.00,100.00,39.80,165.33,12.62,Pending
13-SEP-06,Cyien,Brics,Buy,198.15,242.00,557.50,181.35,19.42,Achieved
13-SEP-06,Great Easte,Angel,Buy,276.30,333.00,341.10,23.45,-47.60,Achieved
14-SEP-06,Sbin,Karvy,Market Performer,92.13,103.31,267.60,190.46,24.11,Achieved
15-SEP-06,Dishman Phar,Networth,Buy,200.25,270.00,164.60,-17.80,-64.77,Pending
15-SEP-06,Pvr ,Karvy,Buy,252.05,333.00,656.00,160.27,11.55,Achieved
15-SEP-06,Apollo Tyre,Brics,Buy,33.61,47.50,173.00,414.73,120.61,Achieved
15-SEP-06,Shaktipump,Networth,Accumulate,58.27,75.00,190.70,227.27,40.27,Achieved
18-SEP-06,Jkcemen,Networth,Buy,198.20,270.00,665.60,235.82,44.67,Achieved
19-SEP-06,Biocon ,Karvy,Market Performer,195.20,207.50,464.00,137.70,1.55,Achieved
19-SEP-06,E L Forge,Brics,Buy,78.84,131.20,4.10,-94.80,-97.78,Pending
19-SEP-06,Moth Sumi Sy,Angel,Buy,27.26,31.72,527.00,1833.24,725.88,Achieved
19-SEP-06,3i Infotech,Emkay,Buy,82.50,116.00,5.15,-93.76,-97.33,Pending
19-SEP-06,Ballarpur,Asit C. Mehta,Buy,115.90,168.00,13.47,-88.38,-95.04,Pending
